0	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
147	0.21951	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
178	0.21289	With what does Queequeg sleep?	His harpoon	16

5	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20
 20	0.28825	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	19	5
100	0.17857	What was Queequeg on his home island?	A prince	
142	0.14143	Who is Father Mapple?	The chaplain (in New Bedford) who gives a moving sermon based on the Biblical story of Jonah and the whale in the Whalemen's chapel.	
 99	0.12636	What was Ahab using to attack Moby Dick when he lost his leg?	A knife	
101	0.12636	What was the name of the whaling ship on which Melville spent 18 months between 1841 and 1842?	Achusnet	
123	0.11915	Which American literary figure, to whom Moby Dick was dedicated, influenced Melville's writing?	Nathaniel Hawthorne	
 42	0.10011	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106

6	After the whale carcass is cut loose from the ship, who are the "mourners" at its "funeral?"	Sharks and vultures	0
170	0.20614	Why are whaling ships always well-lit?	Free access to oil	
  0	0.20062	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
122	0.18443	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
  7	0.16171	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.16171	What is the name of Ahab's ship?	The Pequod	
 87	0.16171	What is the name of the ship in the story?	The Pequod	
 90	0.16171	What is the study of whales called?	Cetology	

7	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	1.00000	What is the name of Ahab's ship?	The Pequod	
131	0.33610	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 79	0.33610	What is the name of Ahab's harpooner?	Fedallah	
 81	0.33610	What is the name of Ahab's wife?	She is nameless	
 87	0.33610	What is the name of the ship in the story?	The Pequod	
161	0.31800	Who is the only crewmate who opposes Ahab's plan to devote the ship's mission to hunt the White Whale?	Starbuck	

8	Ahab claims that, "The path to my fixed purpose is laid" with what?	Iron rails	32
  7	0.17579	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.17579	What is the name of Ahab's harpooner?	Fedallah	
 80	0.17579	What is the name of Ahab's ship?	The Pequod	
 81	0.17579	What is the name of Ahab's wife?	She is nameless	
137	0.17579	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
131	0.17579	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
 32	0.15064	The fact that Ahab is using the Pequod for a different purpose than its owners intended means he could be charged with what?	Usurpation	117

9	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63
152	0.47368	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.	
 63	0.34064	What experience catalyzed Pip and Ahab's close companionship?	Pip's near-drowning	
131	0.27461	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
  7	0.27461	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
137	0.27461	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 79	0.27461	What is the name of Ahab's harpooner?	Fedallah	
 80	0.27461	What is the name of Ahab's ship?	The Pequod	

10	Before the Pequod had even left Nantucket, Ahab's fake leg had twisted around and very nearly done what?	Pierced his groin	13
 13	0.23774	From what is Ahab's false leg made?	A whale's jawbone	68
164	0.23077	Who owns the Pequod?	Bildad and Peleg	
 76	0.23077	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
 68	0.19431	What is Captain Ahab's artificial leg made of?	Ivory	
 65	0.18977	What happens to Ahab's fake leg during his fight with Moby Dick?	It's snapped off	
117	0.16837	When the Pequod meets other sips, what is Ahab's only interest?	Information about Moby Dick	
131	0.13379	Who are Ahab's mates?	Starbuck, Stubbs, Flask	

11	During the first part of the voyage, what kind of sounds do the crew think they hear from the cargo hold?	Human beings	129
 28	0.09270	Over the course of the voyage, Ahab destroys all of what?	The navigation equipment	137
129	0.08177	Which member of the crew is a religious Christian man?	Starbuck	
 86	0.07397	What is the name of the inn Ishmael stays at on the mainland before the voyage?	The Spouter Inn	
 40	0.07397	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59
175	0.07397	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 59	0.07397	What does the crew look for to indicate the presence of a whale?	Spouts	
 15	0.06805	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16

12	For what were whales primarily hunted?	Oil	98
 98	0.50310	What type of whale are they hunting?	Sperm whales	
132	0.31878	Who are the "five dusky phantoms" that appear when the first whale hunt begins?	Ahab's secret whaling crew	
 25	0.29107	Ishmael reflects that traveling around the world to hunt whales really amounts to what?	Going in circles	12
 52	0.29107	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
119	0.29107	When the crew first hunt a whale, what nearly crushes Queequeg's boat?	The ship	
 90	0.26056	What is the study of whales called?	Cetology	
 56	0.22576	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	

13	From what is Ahab's false leg made?	A whale's jawbone	68
 68	0.41121	What is Captain Ahab's artificial leg made of?	Ivory	
  7	0.26056	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.26056	What is the name of Ahab's harpooner?	Fedallah	
 80	0.26056	What is the name of Ahab's ship?	The Pequod	
 81	0.26056	What is the name of Ahab's wife?	She is nameless	
137	0.26056	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
131	0.26056	Who are Ahab's mates?	Starbuck, Stubbs, Flask	

14	How do live whales smell, according to Ishmael?	Pleasantly musky	2
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
  2	0.31711	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14
  3	0.29527	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14
 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	
  0	0.24558	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
  1	0.22576	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	2
175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174

15	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16
 16	0.29107	How does Queequeg shave?	With a harpoon	178
 17	0.29107	How does the Pequod sink?	She is rammed by Moby Dick. 	92
178	0.29107	With what does Queequeg sleep?	His harpoon	16
153	0.27894	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
 76	0.27894	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.27894	Who owns the Pequod?	Bildad and Peleg	
111	0.23790	When Queequeg falls ill, what does he do?	Have his coffin made	

16	How does Queequeg shave?	With a harpoon	178
178	0.50310	With what does Queequeg sleep?	His harpoon	16
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
111	0.41121	When Queequeg falls ill, what does he do?	Have his coffin made	
 22	0.35630	In what state does Ishmael meet Queequeg?	Massachusetts	4
 15	0.29107	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16
 57	0.29107	What does Queequeg do when the bumpkin that was mocking him falls into the ocean?	Dives in after him	
110	0.25214	When Queequeg decorates the coffin that he'd had made, what does he use for the decoration?	His own tattoos	

17	How does the Pequod sink?	She is rammed by Moby Dick. 	92
 76	0.44944	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.44944	Who owns the Pequod?	Bildad and Peleg	
128	0.41121	Which characters survive the Pequod's sinking?	Only Ishmael	
 92	0.41121	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
115	0.41121	When does the Pequod set sail?	Christmas Day	
 58	0.31878	What does the Delight drop into the water as the Pequod passes by?	A dead body	
 15	0.29107	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16

18	How is the Pequod decorated?	With whale bones	179
 76	0.57974	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.57974	Who owns the Pequod?	Bildad and Peleg	
 36	0.33610	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
179	0.33610	With what is the Pequod adorned?	Sperm whale teeth	18
110	0.31126	When Queequeg decorates the coffin that he'd had made, what does he use for the decoration?	His own tattoos	
162	0.26056	Who is the second mate on the Pequod?	Stubb	
 17	0.26056	How does the Pequod sink?	She is rammed by Moby Dick. 	92

19	How many of the Pequod's crew survive their encounter with Moby Dick?	One	128
149	0.41036	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
 76	0.27894	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.27894	Who owns the Pequod?	Bildad and Peleg	
 64	0.23790	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
128	0.23790	Which characters survive the Pequod's sinking?	Only Ishmael	
 78	0.23790	What is the famous first line of Moby Dick?	Call me Ishmael.	
125	0.18443	Which body part has Ahab lost to Moby Dick?	His leg	

20	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	19	5
  5	0.28825	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20
100	0.17857	What was Queequeg on his home island?	A prince	
 99	0.12636	What was Ahab using to attack Moby Dick when he lost his leg?	A knife	
101	0.12636	What was the name of the whaling ship on which Melville spent 18 months between 1841 and 1842?	Achusnet	
123	0.11915	Which American literary figure, to whom Moby Dick was dedicated, influenced Melville's writing?	Nathaniel Hawthorne	
 42	0.10011	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106
130	0.09270	Which was the first team to kill a whale?	Stubb and Tashtego	

21	In what decade did historians rediscover and promote the previously ignored Moby Dick as a seminal work of American literature?	1920's	123
149	0.29032	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
 64	0.16831	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 78	0.16831	What is the famous first line of Moby Dick?	Call me Ishmael.	
123	0.15332	Which American literary figure, to whom Moby Dick was dedicated, influenced Melville's writing?	Nathaniel Hawthorne	
125	0.13048	Which body part has Ahab lost to Moby Dick?	His leg	
107	0.11914	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
 43	0.11914	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	

22	In what state does Ishmael meet Queequeg?	Massachusetts	4
 16	0.35630	How does Queequeg shave?	With a harpoon	178
178	0.35630	With what does Queequeg sleep?	His harpoon	16
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
153	0.33518	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
111	0.29122	When Queequeg falls ill, what does he do?	Have his coffin made	
  4	0.25958	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	

23	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	153
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
  4	0.28070	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 22	0.24558	In what state does Ishmael meet Queequeg?	Massachusetts	4
147	0.20976	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 16	0.20199	How does Queequeg shave?	With a harpoon	178
 30	0.20199	Queequeg is a native of what island?	Kokovoko	83
 39	0.20199	What covers Queequeg's skin?	Tattoos	153

24	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	0
  0	0.30413	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
 90	0.23790	What is the study of whales called?	Cetology	
 14	0.22327	How do live whales smell, according to Ishmael?	Pleasantly musky	2
 50	0.22327	What does Ishmael claim is the most famous part of a whale?	Its tail	
102	0.22327	What was the sperm whale most highly prized for?	Spermaceti and sperm oil, used as lamp oil, among other uses	
 51	0.20883	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	
 56	0.20614	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	

25	Ishmael reflects that traveling around the world to hunt whales really amounts to what?	Going in circles	12
 12	0.29107	For what were whales primarily hunted?	Oil	98
 98	0.29107	What type of whale are they hunting?	Sperm whales	
147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.27520	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 14	0.20614	How do live whales smell, according to Ishmael?	Pleasantly musky	2
 50	0.20614	What does Ishmael claim is the most famous part of a whale?	Its tail	
132	0.18443	Who are the "five dusky phantoms" that appear when the first whale hunt begins?	Ahab's secret whaling crew	

26	Ishmael thinks Buckington is fated to die at sea, but that such a death will transform Buckington into what?	God	174
147	0.21951	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
174	0.19280	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
175	0.14292	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 54	0.13049	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
 38	0.12083	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175
173	0.12083	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
104	0.11304	When Ahab bursts into fits of near-mad shrieking, what does Ishmael think is the cause?	His soul attempting escape	

27	Out of what is Fedallah's turban made?	His hair	69
 69	1.00000	What is Fedallah's turban made of?	His own hair	
143	0.57974	Who is Fedallah?	Strange, "oriental" old Parsee; Ahab's harpooner and personal prophet	
 44	0.17579	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	
 47	0.17579	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
  0	0.12160	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94

28	Over the course of the voyage, Ahab destroys all of what?	The navigation equipment	137
  7	0.22029	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 79	0.22029	What is the name of Ahab's harpooner?	Fedallah	
 80	0.22029	What is the name of Ahab's ship?	The Pequod	
 81	0.22029	What is the name of Ahab's wife?	She is nameless	
137	0.22029	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
131	0.22029	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
  9	0.17999	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63

29	Pip describes the doubloon on the mast as the ship's what?	Navel	45
169	0.35630	Who wins the doubloon from the mast?	Ahab	
152	0.33518	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.	
 45	0.20614	What does Ahab see when he studies the gold doubloon nailed to the mast?	Himself	
  7	0.19431	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 75	0.19431	What is the "doubloon" offered for?	The first man to spot Moby Dick	
 80	0.19431	What is the name of Ahab's ship?	The Pequod	
 87	0.19431	What is the name of the ship in the story?	The Pequod	

30	Queequeg is a native of what island?	Kokovoko	83
 83	1.00000	What is the name of Queequeg's native island?	Kokovoko	
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
100	0.35630	What was Queequeg on his home island?	A prince	
  4	0.21289	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 39	0.20199	What covers Queequeg's skin?	Tattoos	153
 16	0.20199	How does Queequeg shave?	With a harpoon	178
178	0.20199	With what does Queequeg sleep?	His harpoon	16

31	The crew believes that they saw mermaids in the night, but Ahab says that there were actually what?	Seals	112
112	0.16889	When Starbuck confronts Ahab about leaking oil barrels that are costing the crew profit, how does Ahab respond?	Points a gun at Starbuck	
107	0.15593	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
120	0.15593	When the crew takes a break from whale-processing, who does Ahab go on deck to talk to?	The whale's severed head	
131	0.15056	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
  7	0.15056	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
137	0.15056	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 79	0.15056	What is the name of Ahab's harpooner?	Fedallah	

32	The fact that Ahab is using the Pequod for a different purpose than its owners intended means he could be charged with what?	Usurpation	117
 76	0.23077	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.23077	Who owns the Pequod?	Bildad and Peleg	
117	0.16837	When the Pequod meets other sips, what is Ahab's only interest?	Information about Moby Dick	
  8	0.15064	Ahab claims that, "The path to my fixed purpose is laid" with what?	Iron rails	32
131	0.13379	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
  7	0.13379	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 18	0.13379	How is the Pequod decorated?	With whale bones	179

33	The name of the First Mate is?	Starbuck	85
 85	1.00000	What is the name of the Third Mate?	Flask	
 84	0.57974	What is the name of the Second Mate?	Stubb	
131	0.57974	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
 36	0.57974	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
162	0.44944	Who is the second mate on the Pequod?	Stubb	

34	There once was a time when the "specksynder" or chief harpooner served as what?	The captain of the vessel	73
 73	0.27894	What is a "specksynder"?	Chief Harpooner	34
 79	0.16171	What is the name of Ahab's harpooner?	Fedallah	
160	0.12537	Who is the harpooner that Queequeq rescues?	Tashtego	
130	0.10599	Which was the first team to kill a whale?	Stubb and Tashtego	
 37	0.10599	What causes Ahab's harpoon to flicker with fire?	Atmospheric static	79
100	0.09349	What was Queequeg on his home island?	A prince	
102	0.09349	What was the sperm whale most highly prized for?	Spermaceti and sperm oil, used as lamp oil, among other uses	

35	To what does Ishmael liken the experience of shipping aboard a whaler?	Committing suicide	122
122	0.30413	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 93	0.27520	What mainland city does Ishmael, the book's narrator, ship out from?	New Bedford	
 22	0.20614	In what state does Ishmael meet Queequeg?	Massachusetts	4
180	0.20614	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22
 50	0.20614	What does Ishmael claim is the most famous part of a whale?	Its tail	
 53	0.20614	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	

36	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
162	0.70930	Who is the second mate on the Pequod?	Stubb	
 33	0.57974	The name of the First Mate is?	Starbuck	85
 76	0.57974	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
 85	0.57974	What is the name of the Third Mate?	Flask	
164	0.57974	Who owns the Pequod?	Bildad and Peleg	
131	0.33610	Who are Ahab's mates?	Starbuck, Stubbs, Flask	
179	0.33610	With what is the Pequod adorned?	Sperm whale teeth	18

37	What causes Ahab's harpoon to flicker with fire?	Atmospheric static	79
 79	0.57974	What is the name of Ahab's harpooner?	Fedallah	
134	0.29122	Who is Ahab's personal harpooner and spiritual guide?	Fedallah	
105	0.26964	When Ahab has the blacksmith make a special harpoon for Moby Dick, what does Ahab give him for the metal?	Nails from racehorse shoes	
  7	0.22029	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.22029	What is the name of Ahab's ship?	The Pequod	
 81	0.22029	What is the name of Ahab's wife?	She is nameless	
137	0.22029	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	

38	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175
 54	0.36802	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
175	0.27983	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
147	0.25970	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
174	0.23298	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
173	0.23298	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
104	0.21693	When Ahab bursts into fits of near-mad shrieking, what does Ishmael think is the cause?	His soul attempting escape	
 22	0.19087	In what state does Ishmael meet Queequeg?	Massachusetts	4

39	What covers Queequeg's skin?	Tattoos	153
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
  4	0.21289	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 16	0.20199	How does Queequeg shave?	With a harpoon	178
178	0.20199	With what does Queequeg sleep?	His harpoon	16
 83	0.20199	What is the name of Queequeg's native island?	Kokovoko	
 23	0.20199	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	153
 30	0.20199	Queequeg is a native of what island?	Kokovoko	83

40	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59
130	0.26056	Which was the first team to kill a whale?	Stubb and Tashtego	
 59	0.20199	What does the crew look for to indicate the presence of a whale?	Spouts	
119	0.18443	When the crew first hunt a whale, what nearly crushes Queequeg's boat?	The ship	
 90	0.17579	What is the study of whales called?	Cetology	
 91	0.15976	What is the term for a whale that has already been harpooned or marked by the crew of a specific ship?	Fast-fish	
 56	0.15231	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
 48	0.15064	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirt-spout	

